;Название вакансии;Название компании;Город;Заработная плата;Опыт работы;Тип работы;URL;Описание
471;Аналитик в отдел Master Data; Л'Этуаль Офис;Москва;40000;не требуется;полный день;https://hh.ru/vacancy/32385649?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"Мониторинг ежедневных процессов по загрузке/обработке данных. Анализ получаемых данных в соответствии с заданными критериями. Выявление ошибок данных и их... Высшее техническое или экономико-техническое образование. Опыт работы с ""большими данными"" от 1-го года. Опыт работы с СУБД. "
472;Аналитик; Кадровый холдинг ПРОФИЛЬ;Москва;87500;3–6 лет;полный день;https://hh.ru/vacancy/33924200?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;выезды для проверки в дилерские центры Москвы и России. - выборочная отчетность и аналитика по запросу клиента. - консультация по продукту и... склонность к аналитической работе, умение работать с большими объемами данных. - отличное знание Excel (формулы, сводные таблицы). - опыт работы с управленческой...
473;Бизнес-аналитик;ООО 2050-Интегратор;Новочеркасск;52500;1–3 года;полный день;https://hh.ru/vacancy/34403948?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ информации (применение различных методологий и нотаций — анкетирование, опрос, мозговой штурм, анализ существующих документаций и др.). Анализ данных от систем... Опыт участия в проектах по разработке и внедрению систем мониторинга на производстве в качестве бизнес-аналитика (системного аналитика) от 1...
474;Аналитик DWH-BI;ООО ЮК-Консалтинг;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/34424443?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проектирование хранилища данных совместно с архитектором. - Переработка системы отчетности на BI: анализ текущих отчетов, выбор платформы, внедрение. - Учетной системой Е... Высшее техническое образование обязательно. - Теория баз данных, MS SQL, t-sql обязательно. - Опыт разработки отчетов в BI обязательно. - 
475;Аналитик данных; Мир Ваших Товаров (ИП Захарченко Надежда Дмитриевна);Москва;25000;1–3 года;удаленная работа;https://hh.ru/vacancy/34489857?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Обработка больших таблиц excel, приведение к единой форме. Сбор недостающих параметров и данных по продукции. Проверка результата работы системы на... Очень хорошее знание excel, формул, фильтров (pivot, vba как плюс). Умение быстро обрабатывать таблицы от 10000 строк. Знание SQL как...
476;Аналитик данных/ математик-программист;ООО ИнвестОценка;Воронеж;40000;1–3 года;полный день;https://hh.ru/vacancy/34424690?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор, статистическая обработка и анализ массивов данных по рынку недвижимости регионов РФ, верификации информации, формирование баз данных, адаптация современных информационных... Желание развиваться в области анализа данных, осваивать современные технологии построения интеллектуальных систем обработки массивов рыночной информации, аналитики и оценки недвижимости. 
477;Аналитик;ОАО Сады Придонья;Москва;56000;1–3 года;полный день;https://hh.ru/vacancy/34381238?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"Анализ динамики продаж (по категориям, каналам продаж, бренд- размерам и т.д); расчет ""прироста"", осуществление планирования исходя из данных по... ...с базами данных, OLAP кубами, работа со сводными таблицами, ВПР, формулы ""ЕСЛИ"". Отличные знания Excel-обязательно. Опыт ведения аналитики по..."
478;Аналитик;ООО Живое кафе;Москва;80000;1–3 года;полный день;https://hh.ru/vacancy/33972095?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ продаж собственных брендов и конкурентов по всем категориям. Выявление факторов, влияющих на продажи. Постановка и проверка гипотез.  ...таблицы, знание макросов тоже вредным не будет). Понимающего принципы каузальных зависимостей и основы многофакторного анализа. Умеющего делать friendly - визуализацию данных.
479;Аналитик в отдел продаж; ManpowerGroup;Москва;40000;1–3 года;удаленная работа;https://hh.ru/vacancy/34386938?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор и консолидация данных, полученных от региональной команды. Взаимодействие с региональной командой по вопросам, касающимся сбора информации. Проверка и анализ... Опыт работы аналитиком, консолидатором данных – не менее 1 года. Отличное знание Excel. Развитые аналитические навыки. Нацеленность на результат, четкость и...
480;Аналитик бизнес процессов;ООО Днс Дом;Владивосток;80000;3–6 лет;полный день;https://hh.ru/vacancy/33991667?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ бизнес-процессов компании и выработка решений по оптимизации процессов. Выявление, анализ и утверждение требований к изменениям бизнес-процессов.  ...аналитика, статистика. Знание нотаций графического описания бизнес-процессов. Отличные аналитические навыки и системное мышление. Умение работать и анализировать массивы данных...
481;Аналитик-Секретарь; МАГНИТ, Розничная сеть;Самара;46800;1–3 года;полный день;https://hh.ru/vacancy/34008760?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Аналитическая обработка и консолидация данных (о продажах). Формирование сводных таблиц, их первичный анализ, слайдов на этой основе. Контроль исполнения поставленных... Уверенный пользователь ПК. Отличное знание Excel. Умение работать в сводной таблице ВПР. Опыт работы с оргтехникой. Грамотная речь, навыки делового...
482;Маркетолог-аналитик; ПартКом;Нижний Новгород;60000;3–6 лет;полный день;https://hh.ru/vacancy/33812765?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа в CRM – анализ загрузки/выгрузки данных, настройки/корректировки отчетов по эффективности кампаний и акций. Создание и проведение презентаций для... Высшее образование (маркетинг, экономика, менеджмент). Опыт работы от 3 лет. Опыт сотрудничества с подрядчиками, поставщиками, клиентами. Знания основ ценообразования, планирования...
483;Аналитик отдела телемаркетинга;ПАО Ростелеком;Санкт-Петербург;50000;1–3 года;полный день;https://hh.ru/vacancy/34405719?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...отчетностью, базами данных. Формирование отчетной документации. Разработка положений по мотивации. Анализ эффективности продаж подразделения. Расчет KPI сотрудников. Анализ данных и... Опыт в статистике телемаркетинга (call-центры). Скрупулезность. Умение работать с большим объемом информации. Способность анализировать большие массивы статистических данных.
484;Специалист по работе с базами данных; Благотворительный центр помощи детям Радуга;Омск;15000;не требуется;полный день;https://hh.ru/vacancy/34562043?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Поддержание контактов, развитие базы доноров. Ведение отчетов и аналитики. Приглашение доноров на акции и мероприятия. Совместная работа со специалистами PR... Образование (гуманитарное). Знание ПК на пользовательском уровне. Грамотная речь. Коммуникабельность. Желание помогать и делать мир лучше.
485;Аналитик мобильного приложения;ИП Богуш Павел Викторович;Санкт-Петербург;100000;1–3 года;полный день;https://hh.ru/vacancy/34423128?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сопровождение и развитие мобильного приложения. Сбор и формализация бизнес и функциональных требований. Проектирование бизнес-логики. Написание технических заданий для разработки... Опыт описания требований к интеграционному взаимодействию, нормализации и миграции данных. Понимание основ методологии Agile. Инициативность. Системность. Понимание архитектуры мобильных приложений...
486;Аналитик; Государственное автономное учреждение Тульской области «Центр информационных технологий»;Тула;31000;1–3 года;полный день;https://hh.ru/vacancy/33360199?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Построение и описание моделей процессов, данных, объектов предметной области. Анализ рисков причин возникновения ошибок при разработке и внедрении информационных систем.  Опыт работы от 1 года. Владение современными средствами, методами и технологией работы с информацией и документами. Умение моделировать бизнес-процессы...
487;Аналитик департамента продаж; Красное & Белое, розничная сеть;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/34344100?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Построение систем сквозной аналитики. Сбор, обработка, анализ больших объемов данных, аналитика статистических данных. Выявление ключевых факторов для проведения аналитики, оценка... Опыт работы аналитиком отдела продаж от 1 года. Аналитический склад ума, умение структурировать и анализировать большие объемы информации. 
488;Младший аналитик (Data analyst);ООО Джой Колс Групп;Москва;60000;не требуется;полный день;https://hh.ru/vacancy/34481138?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с сквозной аналитикой. Построение дашбордов/визуализация данных (маркетинговые отчеты, LTV, когорты). Сбор данных о поведении пользователей с веб-сайтов... Начальные знания SQL. Опыт работы с любыми источниками данных: базы данных, выгрузки/отчеты, API знание алгоритмов работы с данными. 
489;Финансовый аналитик;ООО А-Техникс;Москва;100000;3–6 лет;полный день;https://hh.ru/vacancy/34389547?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Формирование бюджетов по закрепленным ЦФО (расчеты, сбор, анализ и проверка бюджетов подразделений). Формирование бюджета движения денежных средств (БДДС).  Высшее экономическое образование. Уверенный пользователь Excel и 1С и PowerPoint. Опыт работы на аналогичной должности не менее 3-х...
490;Аналитик;Нек. орг. Роскачество;Москва;60000;1–3 года;полный день;https://hh.ru/vacancy/34371773?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Формирование целей и задач проведения веерных исследований товаров народного потребления исходя из интересов потребителя. Ведение списка категорий, предлагаемых к исследованиям... Опыт работы в должности информационного аналитика, маркетинг-аналитика, аналитика в консалтинговых компаниях от одного года. Высшее образование (экономика, маркетинг, социология...
491;Помощник Экономиста-аналитика;ООО Кадровик;Владивосток;31500;3–6 лет;полный день;https://hh.ru/vacancy/33522608?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"помощь в сборе, обработке и анализе данных. - Оценка эффективности проведенных изменений. - Своевременное предоставление корректной информации. Профильное образование. -Знание экономики и статистики. - Умение обрабатывать и анализировать информацию. - Продвинутое знание Excel. - Навыки работы с 1С; SQL..."
492;Консультант (аналитик) управления стратегического планирования Министерства; ФОНД РАЗВИТИЯ ПРЕДПРИНИМАТЕЛЬСТВА;Челябинск;35000;не требуется;полный день;https://hh.ru/vacancy/34450198?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Основные должностные обязанности консультанта Управления стратегического планирования: 1.Анализ и прогнозирование социально-экономического положения Челябинской области (в том числе по разделу... ...Base), опыт работы с программным обеспечением по обработке Big Data, с базами данных со статистической информацией, желательно знание английского языка.
493;Аналитик; Ассоциация кластеров и технопарков России;Москва;65000;1–3 года;полный день;https://hh.ru/vacancy/34424839?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...развития, бизнес-планы, ТЭО, инвестиционные планы, финансовые модели и др.). Структурирование и обработка данных из различных источников, подготовка аналитических материалов. Высшее экономическое или техническое образование. Опыт работы с аналогичным функционалом от 2 лет. Умение работать с большими объемами информации. 
494;Аналитик (анализ инвестиционной привлекательности); Кадровое Агентство Уникальных Специалистов;Москва;100000;1–3 года;полный день;https://hh.ru/vacancy/34303007?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...собственника: - Подготовка и аналитика бизнес-планов. - Участие в разработке инвестиционных проектов, дорожных карт. - Сбор и анализ данных из внешних и... Умение работать с большими массивами информации и базами данных, моделировать, выполнять статистический анализ и деловую графику. - Опыт аналитики реального бизнеса. - 
495;Аналитик; Группа Компаний ГаражТулс;Санкт-Петербург;85000;1–3 года;полный день;https://hh.ru/vacancy/33608792?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Ведение проектов по автоматизации бизнес-процессов. Сбор, анализ и систематизация данных из разных источников, составление целей/гипотез и их тестирование. Высшее образование. Продвинутые знания Excel и 1С. Знания теории вероятности и любовь к работе с таблицами. Нестандартное мышление. 
496;Специалист по работе с ключевыми клиентами;ООО УНИК косметик;Москва;65000;1–3 года;полный день;https://hh.ru/vacancy/34430851?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка преддоговорной документации, отчетность, сбор аналитики, учет претензий покупателей по исполнению заключенных договоров. Ввод планируемых показателей в базу данных компании.  Умение поддерживать деловые взаимоотношения с наиболее важными для фирмы клиентами и внутри компании. Уверенный пользователь ПК, MS Office (Excel, Outlook...
497;Финансовый аналитик ( оптово-розничная торговля ТНП ); САКС;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/34102904?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор, анализ и обработка исходных данных для составления аналитических, финансово-экономических отчетов. Разработка алгоритмов выгрузки данных из корпоративной информационной системы.  Высшее образование в области экономики и финансов. - Знание законодательства в области финансово-хозяйственной деятельности предприятия. - Опыт работы в 1С. - 
498;Аналитик; ИРВИН 2;Москва;75000;не требуется;полный день;https://hh.ru/vacancy/34253121?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Ведение стандартных аналитических отчетов компании по стратегически важным направлениям. Оперативная подготовка данных в виде наглядных отчетов по запросам внутренних заказчиков... Высшее фармацевтическое/медицинское. Опыт работы на фармацевтическом рынке является преимуществом. Опытный пользователь ПК (МS Excel, 1С). Знание основ математической...
499;Финансовый аналитик;ИП Федотов Альберт Владимирович;Санкт-Петербург;30000;3–6 лет;удаленная работа;https://hh.ru/vacancy/34411306?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Составление финансовой модели. -Аналитика всех цифр в компании ( CRM, Yandex metrika и др.). -Ежемесячная отчетность ОПИУ, ДДС, баланс. - ...с аналогичными задачами от 1 года. -Системное мышление, сильные аналитические навыки. -Отличное знание excel. -Умение работать с большими объемами данных.
500;Web analyst (Веб-аналитик);ООО Сапл-биз;Томск;35000;1–3 года;гибкий график;https://hh.ru/vacancy/32869817?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Построение системы сквозной аналитики, автоматизация сбора данных. Построение системы регулярной отчетности по эффективности маркетинговых каналов, ключевым показателям воронок на сайте... Опыт работы в должности веб-аналитик, маркетолог-аналитик – от 1 года. Профессиональное владение инструментами веб-аналитики (Google Analytics/ Яндекс.Метрика, Google...
501;Аналитик отдела трейдинга; Group of Investing Companies;Москва;90000;1–3 года;полный день;https://hh.ru/vacancy/34327278?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Формирование прогноза цен на оптовом рынке электроэнергии и мощности. Расчет ценовых параметров для потребителей общества. Анализ часовых объемов потребления электроэнергии... Умение писать SQL запросы. Умение работать с базами данных, желателен опыт написания процедур и функций. Уверенный пользователь Excel, желательно знание...
502;Аналитик;ООО Бест-Плейс;Москва;40000;не требуется;полный день;https://hh.ru/vacancy/34328856?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ и верификация клиентских данных. Поиск, анализ и подключение новых источников данных. Формирование физических моделей потребительского спроса для различных типов... Высшее техническое образование (либо студенты последних курсов с готовностью работать фулл-тайм). Внимательность, аккуратность и ответственность при выполнении задач. 
503;Финансовый аналитик; HR-trend, Консалтинговая Компания;Новосибирск;42500;1–3 года;полный день;https://hh.ru/vacancy/33999705?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;А если ты любишь бюджетирование, анализ статей затрат, подготовку управленческих отчетов ДДС, ОПУ и любишь анализировать, то тебе точно к... ...есть высшее Экономическое/финансовое образование, опыт работы финансовым аналитиком, Ведущим финансовым аналитиком и ты мечтаешь стать руководителем финансового отдела, чтобы...
504;Аналитик информационно-аналитического отдела; ЦИПРТМ;Москва;100000;более 6 лет;полный день;https://hh.ru/vacancy/34286743?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка обзоров новостей, мониторинг СМИ. Работа с большими информационными ресурсами (базы данных, Интернет, СМИ, социальные сети). Анализ и систематизация полученной... Высшее образование. Опыт работы от 5 лет. Уверенные навыки в офисных программах, поиске информации в интернете/различных государственных и ведомственных...
505;Data Analyst / Data Scientist; МодульБанк;Москва;180000;1–3 года;полный день;https://hh.ru/vacancy/34312805?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализировать данные о поведении пользователей сайта и клиентах и извлекать из них полезные выводы. Генерировать гипотезы и находить способы их... Знание классических алгоритмов и структур данных, опыт работы с базами данных. Знания и навыки практического применения методов статистического анализа данных. 
506;Аналитик/ Analyst; Out of Cloud;Москва;75000;не требуется;полный день;https://hh.ru/vacancy/34341943?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Заниматься обработкой данных. Готовить отчеты по основным маркетинговым показателям показателям кампаний. Сегментировать базы данных и анализировать их. Писать SQL запросы.  У Вас есть опыт работы с системами веб-аналитики (Google Analytics и Яндекс.Метрика). Вы работали с SQL запросами. 
507;Аналитик BI; Ангстрем, Группа компаний;Воронеж;80000;1–3 года;полный день;https://hh.ru/vacancy/34384859?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Внедрение бизнес-аналитики на платформе MS Power BI. Поддержка хранилища данных, разработка и поддержка отчетности на базе Reporting Services, PowerBI.  Профильное высшее образование. Опыт работы аналитиком в торговле от 2-х лет. Знание Power BI, SQL Server Reporting Services, понимание...
508;Аналитик SQL; Компания ПЭК;Москва;79100;не требуется;полный день;https://hh.ru/vacancy/34351490?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...сотрудников Коммерческого департамента. Написание SQL-скриптов и хранимых процедур для построения отчетов. Автоматизация процессов – увеличение эффективности предоставления и обработки данных. Опыт работы с SQL. Понимание архитектуры реляционных баз данных. Хорошее знание Excel (ВПР, Сводные таблицы). Аналитический склад ума, эмоциональная устойчивость...
509;Ведущий аналитик;АО АБИ Продакт;Владимир;45000;1–3 года;полный день;https://hh.ru/vacancy/34456888?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;План-фактная аналитика компании на основе текущих продаж. Прогнозирование, моделирование сценариев развития продаж. Работа с массивами данных и визуализация.  Образование: высшее (математика, информатика). Опыт работы с массивами данных. Продвинутый пользователь Excel, Access. Опыт работы Аналитиком от 1 года.
510;Таможенный аналитик;ООО Ринар;Санкт-Петербург;77500;1–3 года;удаленная работа;https://hh.ru/vacancy/34444002?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подбор кодов тн вэд. Проверка не тарифных мер регулирования. Анализ баз. Требования: Удаленно подбор кодов тн вэд, расчет таможенных платежей... 
511;Аналитик бизнес процессов;ООО Генерация (Generation Invest);Москва;80000;не требуется;полный день;https://hh.ru/vacancy/34349996?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...и бизнес-аналитиками, постановка задач, контроль, управлением изменениями требований, формирование требований для разработчиков. Функциональное тестирование ПО, анализ качества данных.  Выпускник технических факультетов (экономический, математический, финансы). Знания языка запросов SQL, построение запросов средней сложности. Пользователь MSOffice (Word, Excel, Visio).
512;Бизнес-аналитик отдела ценообразования; МАГНИТ, Розничная сеть;Краснодар;45000;не требуется;полный день;https://hh.ru/vacancy/33860595?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Осуществлять анализ основных показателей по направлению. Проводить анализ, подготавливать аналитические материалы. Участвовать во внедрении результатов анализа отчетности и регулярных процессах... Владение навыками пользования компьютером и специализированными программами для обработки статистических данных, умение собирать различные цифровые данные, анализировать и в последствии...
513;Бизнес-аналитик;ООО Ключевой фактор;Тюмень;50000;1–3 года;полный день;https://hh.ru/vacancy/33534049?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ эффективности бизнес-процессов, выработка решения по их оптимизации. Формирование периодических отчетов для презентации результатов по оптимизированным бизнес-процессам. Опыт в выявлении взаимосвязей и построении моделей. Визуализация данных для презентации результатов модели. Успешно реализованные кейсы в любой сфере. 
514;Веб-аналитик;ООО Трансинфо;Краснодар;25000;не требуется;полный день;https://hh.ru/vacancy/34404394?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка аналитических отчетов на основе данных внешних систем аналитики. Подготовка аналитических отчетов на основе данных внутренних систем. Подготовка рекомендаций по... Умение видеть неочевидные связи в данных. Построение моделей данных.
515;Экономист-аналитик в отдел ценообразования; Сеть аптек Аптечный склад;Краснодар;30000;1–3 года;полный день;https://hh.ru/vacancy/34298469?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ цен конкурентов (НЕ предполагает самостоятельный сбор данных). Корректировка системы ЦО в соответствии с аналитическими данными и принятыми решениями (по... Аналитический склад ума. Способность структурировать и обрабатывать большие объёмы информации. Обязательно: пользователь Excel на уровне выше среднего, уверенное пользование формулами...
516;Аналитик отдела продаж / Экономист; Армада, группа компаний;Томск;25000;не требуется;полный день;https://hh.ru/vacancy/33764964?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"Анализ экономических показателей деятельности подразделения. Сбор и обработка данных. Оценка эффективности закупок. Планирование, контроль выполнения показателей. Высшее экономическое, техническое, математическое образование. Желательно знание 1С ""Управление торговлей"". Отличное знание MS Excel. Отличное понимание телефонов и аксессуаров..."
517;Продуктовый аналитик;ООО Фанк;Санкт-Петербург;80000;1–3 года;полный день;https://hh.ru/vacancy/34349208?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...полную продуктовую аналитику для новых проектов. — формулировать гипотезы, находить способ их проверки и давать рекомендации после анализа данных. —  Уверенного владения всеми аспектами общей web-аналитики (Я.Метрики, Google Analytics, Firebase) и аналитики событийной (MixPanel, KissMetrics, Amplitude и т.д.). — 
518;Маркетолог-аналитик;ООО Ломбардная Компания Драгоценности Урала;Екатеринбург;45000;1–3 года;полный день;https://hh.ru/vacancy/34383880?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Мониторинг условий и цен конкурентов, анализ и составление отчетов. Анализ клиентской базы, разработка маркетинговых акций для клиентов, анализ и отчет... ...аналитиком, маркетологом от 1 года. Отличное знание Excel (макросы, сложные формулы, сводные таблицы, фильтры), опыт работы с большими объемами данных. 
519;Аналитик социальных медиа (мониторинг); Media Research Family;Москва;40000;1–3 года;удаленная работа;https://hh.ru/vacancy/34503623?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Ситуативный мониторинг по запросу. Еженедельный аналитический отчет со статистикой и аналитикой изменений (пятница, до 12.00). Ежемесячный отчет с аналитикой. Аналитический склад ума. Умение работать с большими массивами данных. Знание Excel, Word. Опыт работы с системами мониторинга (youscan и BA...
520;Специалист отдела аналитики и поддержки;АО АУДИОТЕЛЕ;Тверь;40000;1–3 года;полный день;https://hh.ru/vacancy/32427792?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Обеспечивать методическую и аналитическую поддержку основных бизнес-процессов Компании. Проводить анализ различных массивов данных в MS Excel. Поддерживать системы планирования... Уверенно владеть приложениями MS Power Point и MSAccess. Иметь развитые навыки VBA (желательно). Иметь практический опыт в сфере аналитики и...
